Gas Name,Dielectric Strength (kV/cm),GWP,Breakdown Voltage (kV),Toxicity,Cost ($/kg)
SF6,56.0,24300,14.0,Low,40
Novec 5110,73.6,1,18.4,Moderate,50
G3,110.0,2100,27.5,Low,30
C4F7N,88.0,2750,22.0,Moderate,35
CO2,16.8,1,4.2,,5
Nitrogen,20.16,273,5.04,,3
