Gas Name,Dielectric Strength (kV/cm),GWP,Breakdown Voltage (kV),Toxicity,Cost ($/kg)
SF6,89,23500,350,Low,40
C4F7N,120,2090,300,Moderate,35
g³,115,350,310,Moderate,38
CO2,60,1,100,None,5
Nitrogen,50,0,90,None,3
Fluoroketones,110,1,280,Low,50
